city_name,country_code,region,population,upd_date,lat,lon
Ras Al Khaimah City,AE,Asia/Dubai,351943,2019-09-09,25.78953,55.943199
Dubai,AE,Asia/Dubai,2956587,2019-08-28,25.07725,55.309269
Sharjah,AE,Asia/Dubai,1324473,2019-09-05,25.33737,55.41206
Ajman City,AE,Asia/Dubai,490035,2019-05-29,25.40177,55.478779
Abu Dhabi,AE,Asia/Dubai,603492,2019-09-05,24.45118,54.396961
Musaffah,AE,Asia/Dubai,243341,2019-10-12,24.358931,54.48267
Mazar-e Sharif,AF,Asia/Kabul,303282,2020-06-09,36.709042,67.11087
Kunduz,AF,Asia/Kabul,161902,2019-02-26,36.728951,68.857002
Kandahar,AF,Asia/Kabul,391190,2020-06-09,31.613319,65.710129
Kabul,AF,Asia/Kabul,3043532,2019-09-05,34.52813,69.172333
Jalalabad,AF,Asia/Kabul,200331,2020-06-09,34.426472,70.45153
Herat,AF,Asia/Kabul,272806,2020-06-09,34.348171,62.199669
Ghazni,AF,Asia/Kabul,141000,2018-02-17,33.553909,68.420959
Gardez,AF,Asia/Kabul,103601,2018-02-13,33.597439,69.225922
Balkh,AF,Asia/Kabul,114883,2018-02-17,36.756351,66.897202
Baghlan,AF,Asia/Kabul,108449,2020-06-09,36.13068,68.70829
Elbasan,AL,Europe/Tirane,100903,2017-12-20,41.112499,20.08222
Tirana,AL,Europe/Tirane,374801,2019-09-05,41.327499,19.81889
Durres,AL,Europe/Tirane,122034,2019-09-05,41.323551,19.454691
Yerevan,AM,Asia/Yerevan,1093485,2019-09-05,40.18111,44.513611
Vanadzor,AM,Asia/Yerevan,101098,2019-09-05,40.804562,44.4939
Gyumri,AM,Asia/Yerevan,148381,2019-09-05,40.794201,43.84528
N'dalatando,AO,Africa/Luanda,383100,2017-05-07,-9.2978201,14.91162
Luanda,AO,Africa/Luanda,2776168,2019-09-05,-8.8368196,13.23432
Lubango,AO,Africa/Luanda,102541,2020-06-02,-14.91717,13.4925
Lobito,AO,Africa/Luanda,207932,2013-06-09,-12.3644,13.53601
Cuito,AO,Africa/Luanda,113624,2020-10-13,-12.38333,16.933331
Huambo,AO,Africa/Luanda,226145,2019-02-26,-12.77611,15.73917
Benguela,AO,Africa/Luanda,151226,2011-10-28,-12.57626,13.40547
